NOTE: The SQL file related to this output is advanced_querying.sql


Winning Team         Team Captain         Match ID     Game #
-------------------- -------------------- -------- ----------
1 Marlins            2 Fournier                  1          1
1 Marlins            2 Fournier                  1          3
1 Marlins            2 Fournier                  5          2
1 Marlins            2 Fournier                 10          1
1 Marlins            2 Fournier                 10          3
1 Marlins            2 Fournier                 13          1
1 Marlins            2 Fournier                 13          3
1 Marlins            2 Fournier                 17          2
1 Marlins            2 Fournier                 21          1
1 Marlins            2 Fournier                 21          3
1 Marlins            2 Fournier                 25          2

Winning Team         Team Captain         Match ID     Game #
-------------------- -------------------- -------- ----------
1 Marlins            2 Fournier                 29          1
1 Marlins            2 Fournier                 29          3
1 Marlins            2 Fournier                 34          2
1 Marlins            2 Fournier                 37          2
1 Marlins            2 Fournier                 41          1
1 Marlins            2 Fournier                 41          3
1 Marlins            2 Fournier                 45          2
1 Marlins            2 Fournier                 49          1
1 Marlins            2 Fournier                 49          3
1 Marlins            2 Fournier                 53          2
2 Sharks             5 Patterson                 1          2

Winning Team         Team Captain         Match ID     Game #
-------------------- -------------------- -------- ----------
2 Sharks             5 Patterson                 6          2
2 Sharks             5 Patterson                 9          1
2 Sharks             5 Patterson                 9          3
2 Sharks             5 Patterson                14          1
2 Sharks             5 Patterson                14          3
2 Sharks             5 Patterson                18          2
2 Sharks             5 Patterson                23          1
2 Sharks             5 Patterson                23          3
2 Sharks             5 Patterson                26          2
2 Sharks             5 Patterson                30          1
2 Sharks             5 Patterson                30          3

Winning Team         Team Captain         Match ID     Game #
-------------------- -------------------- -------- ----------
2 Sharks             5 Patterson                33          2
2 Sharks             5 Patterson                38          2
2 Sharks             5 Patterson                42          1
2 Sharks             5 Patterson                42          3
2 Sharks             5 Patterson                47          2
2 Sharks             5 Patterson                50          1
2 Sharks             5 Patterson                50          3
2 Sharks             5 Patterson                53          1
2 Sharks             5 Patterson                53          3
3 Terrapins          12 Viescas                  2          1
3 Terrapins          12 Viescas                  2          3

Winning Team         Team Captain         Match ID     Game #
-------------------- -------------------- -------- ----------
3 Terrapins          12 Viescas                  5          1
3 Terrapins          12 Viescas                  5          3
3 Terrapins          12 Viescas                  9          2
3 Terrapins          12 Viescas                 15          1
3 Terrapins          12 Viescas                 15          3
3 Terrapins          12 Viescas                 19          2
3 Terrapins          12 Viescas                 22          1
3 Terrapins          12 Viescas                 22          3
3 Terrapins          12 Viescas                 27          2
3 Terrapins          12 Viescas                 29          2
3 Terrapins          12 Viescas                 33          1

Winning Team         Team Captain         Match ID     Game #
-------------------- -------------------- -------- ----------
3 Terrapins          12 Viescas                 33          3
3 Terrapins          12 Viescas                 39          2
3 Terrapins          12 Viescas                 43          1
3 Terrapins          12 Viescas                 43          3
3 Terrapins          12 Viescas                 46          2
3 Terrapins          12 Viescas                 51          1
3 Terrapins          12 Viescas                 51          3
3 Terrapins          12 Viescas                 54          2
4 Barracudas         16 Sheskey                  2          2
4 Barracudas         16 Sheskey                  6          1
4 Barracudas         16 Sheskey                  6          3

Winning Team         Team Captain         Match ID     Game #
-------------------- -------------------- -------- ----------
4 Barracudas         16 Sheskey                 10          2
4 Barracudas         16 Sheskey                 16          1
4 Barracudas         16 Sheskey                 16          3
4 Barracudas         16 Sheskey                 20          2
4 Barracudas         16 Sheskey                 24          1
4 Barracudas         16 Sheskey                 24          3
4 Barracudas         16 Sheskey                 28          2
4 Barracudas         16 Sheskey                 30          2
4 Barracudas         16 Sheskey                 34          1
4 Barracudas         16 Sheskey                 34          3
4 Barracudas         16 Sheskey                 40          2

Winning Team         Team Captain         Match ID     Game #
-------------------- -------------------- -------- ----------
4 Barracudas         16 Sheskey                 44          1
4 Barracudas         16 Sheskey                 44          3
4 Barracudas         16 Sheskey                 48          2
4 Barracudas         16 Sheskey                 52          1
4 Barracudas         16 Sheskey                 52          3
4 Barracudas         16 Sheskey                 54          1
4 Barracudas         16 Sheskey                 54          3
5 Dolphins           20 Viescas                  3          1
5 Dolphins           20 Viescas                  3          3
5 Dolphins           20 Viescas                  7          1
5 Dolphins           20 Viescas                  7          3

Winning Team         Team Captain         Match ID     Game #
-------------------- -------------------- -------- ----------
5 Dolphins           20 Viescas                 12          1
5 Dolphins           20 Viescas                 12          3
5 Dolphins           20 Viescas                 13          2
5 Dolphins           20 Viescas                 18          1
5 Dolphins           20 Viescas                 18          3
5 Dolphins           20 Viescas                 22          2
5 Dolphins           20 Viescas                 28          1
5 Dolphins           20 Viescas                 28          3
5 Dolphins           20 Viescas                 31          2
5 Dolphins           20 Viescas                 36          2
5 Dolphins           20 Viescas                 37          1

Winning Team         Team Captain         Match ID     Game #
-------------------- -------------------- -------- ----------
5 Dolphins           20 Viescas                 37          3
5 Dolphins           20 Viescas                 42          2
5 Dolphins           20 Viescas                 46          1
5 Dolphins           20 Viescas                 46          3
5 Dolphins           20 Viescas                 52          2
5 Dolphins           20 Viescas                 55          2
6 Orcas              24 Thompson                 3          2
